Neurologic_ICD9,Cardio_ICD9,Resp_ICD9,Renal_ICD9,GI_ICD9,Hema_ICD9,Meta_ICD9,ConGen_ICD9,Mali_ICD9,Neo_ICD9,Tech_ICD9,Transplant_ICD9,Neurologic_ICD10,Cardio_ICD10,Resp_ICD10,Renal_ICD10,GI_ICD10,Hema_ICD10,Meta_ICD10,ConGen_ICD10,Mali_ICD10,Neo_ICD10,Tech_ICD10,Transplant_ICD10
3180,4161,32725,34461,4530,42,243,2594,14,76401,5190,99680,E750,I270,E84,N18,K50,B20,D841,E343,C,P0501,T8509XA,T8600
3181,4168,4162,585,5364,43,2532,5533,15,76402,5364,99681,E751,I271,G4753,Q60,K51,D55,E700,K449,D00,P0511,T85190A,T8601
3182,4169,5163,5964,555,44,2535,7373,16,76411,9960,99682,E752,I272,I2782,Q61,K73,D56,E702,M410,D01,P0502,T85192A,T8602
330,4240,51631,59653,556,135,2536,7560,17,76412,9961,99683,E754,I2781,I43,Q62,K74,D57,E703,M412,D02,P0512,T85199A,T8609
33111,4258,51884,59654,5571,279,2359,7561,18,76421,9962,99684,F71,I2789,Q30,Q63,K754,D58,E704,M4130,D03,P052,T8579XA,T8610
33119,4242,5190,753,5602,2820,2550,7562,19,76422,9964,99685,F72,I279,Q31,Q64,K760,D60,E705,M418,D04,P059,Z982,T8611
3314,4243,2770,99668,5647,2821,25513,7563,20,76491,99661,99686,F73,I340,Q32,Z905,K761,D61,E708,M419,D05,P0701,Z45441,T8612
33189,4250,748,V420,5714,2822,2552,7564,23,76492,99662,99687,F842,I348,Q33,Z906,K762,D71,E710,M4330,D06,P0702,Z45442,T8620
3319,4251,7704,V445,5715,2823,270,7565,V4281,76501,99663,99688,G111,I360,Q34,G834,K763,D720,E711,M965,D07,P0721,T82519A,T8621
3320,4252,V426,V446,5716,2824,271,7566,V4282,76502,99666,99689,G112,I368,P280,N312,K768,D80,E712,Q722,D08,P0722,T82529A,T8622
3321,4253,V440,V451,5717,2825,272,7567,,76511,99667,V421,G114,I370,Z902,N319,Q390,D81,E713,Q750,D09,P0723,T82539A,T86810
3330,4254,V4576,V4573,5718,2826,2750,758,,76512,99668,V422,G118,I378,J84112,T8571XA,Q391,D82,E714,Q752,D37,P0724,T82599A,T86811
3332,426,V460,V4574,5719,2881,2751,7597,,76521,9969,V426,G119,I42,J9500,Z940,Q392,D83,E715,Q759,D38,P0725,T82110A,T86819
3334,4270,461,V536,7503,2882,2752,7598,,76522,V433,V427,G120,I43,J9501,Z9350,Q393,D84,E720,Q760,D39,P100,T82111A,T8640
3335,4271,V550,V555,751,284,2753,7599,,76523,V440,V4281,G121,I44,J9502,Z9351,Q394,D85,E721,Q761,D3A0,P101,T82120A,T8641
3337,4272,,V556,V427,2860,2772,,,7670,V441,V4282,G122,I45,J9503,Z9352,Q41,D87,E722,Q762,D40,P104,T82121A,T8642
3339,4273,,V56,V4283,2863,2773,,,7674,V442,V4283,G128,I47,J9504,Z9359,Q42,D88,E723,Q764,D41,P524,T82190A,T86890
334,4274,,,V4284,28732,2774,,,7685,V443,V4284,G129,I48,J9509,Z936,Q43,D86,E724,Q765,D42,P528,T82191A,T86891
335,4276,,,V441,28733,2775,,,7687,V444,V432,G3101,I490,9620,Z9115,Q44,M303,E728,Q766,D43,P115,T8201XA,T86899
343,4277,,,V442,28739,2776,,,7689,V445,V4585,G3109,I491,Z430,Z992,Q45,M359,E729,Q767,D44,P84,T8202XA,T86850
34501,4278,,,V443,28801,2778,,,7702,V446,V5391 ,G318,I493,Z930,Z435,I820,B21,E740,Q77,D45,P916,T8203XA,T86851
34581,4279,,,V444,28802,2779,,,7707,V450,,G3189,I494,Z942,Z436,K551,B22,E741,Q780,D46,P210,T8209XA,T86859
3590,4280,,,V5350,2884,V4585,,,7710,V451,,G3289,I495,Z990,Z446,K562,B23,E742,Q781,D47,P250,T82211A,T865
3591,42883,,,V5351,4460,V5391,,,7711,V452,,G71,I498,J95850,Z4901,K593,B24,E743,Q782,D48,P251,T82212A,T8690
3592,4291,,,V5359,4461,V6546,,,77213,V460,,G72,I499,Z9911,Z4902,Z980,D700,E744,Q783,D49,P253,T82213A,T8691
3593,4293,,,V551,44621,,,,77214,V461,,G80,I509,Z9912,Z4931,Z903,D704,E748,Q784,Q850,P258,T82218A,T8692
3361,43311,,,V552,4464,,,,7733,V462,,G901,I515,T86810,Z4932,Z9049,D66,E749,Q788,Z9481,P219,T82221A,T8699
3368,7450,,,V553,4465,,,,7734,V5301,,G938,I517,T86811,T8610,K9420,D682,E75,Q789,Z9484,P270,T82222A,T86890
3379,7451,,,V554,4466,,,,7747,V5302,,G939,I5181,T86819,T8611,K9422,D6941,E760,Q790,T8600,P271,T82223A,T86891
3418,7452,,,,4467,,,,7765,V5331,,G94,I63139,,T8612,K9423,D6942,E761,Q791,T8601,P278,T82228A,T86899
34290,7453,,,,7100,,,,77753,V5332,,Q00,I63239,,,K9429,D761,E762,Q792,T8602,P350,T82518A,
343,7456,,,,7101,,,,7780,V5339,,Q01,Q20,,,Z944,D762,E763,Q793,T8609,P351,T82528A,
3440,746,,,,7103,,,,7797,V5350,,Q02,Q212,,,Z9482,D763,E770,Q794,,P2521,T82538A,
34481,7471,,,,V08,,,,,V5351,,Q03,Q213,,,Z9483,D869,E771,Q799,,P2522,T82598A,
3449,7472,,,,,,,,,V5359,,Q04,Q214,,,Z931,M300,E780,Q795,,P560,T826XXA,
34511,7473,,,,,,,,,V536,,Q05,Q218,,,Z932,M310,E781,Q8740,,P570,T827XXA,
3453,7474,,,,,,,,,V550,,Q06,Q22,,,Z933,M311,E782,Q8781,,P578,Z950,
34541,74781,,,,,,,,,V551,,Q07,Q23,,,Z934,M3130,E783,Q8789,,P613,Z952,
34561,74789,,,,,,,,,V552,,G911,Q24,,,Z431,M314,E784,Q897,,P614,Z953,
34571,9960,,,,,,,,,V553,,G319,Q251,,,Z432,M316,E785,Q899,,P773,Z95810,
34591,9961,,,,,,,,,V554,,G253,Q252,,,Z433,M3210,E786,Q909,,P832,Z95811,
3481,99661,,,,,,,,,V555,,G9519,Q253,,,Z434,M3390,E787,Q913,,P912,Z95812,
3484,99662,,,,,,,,,V556,,G9589,Q254,,,Z4651,M340,E788,Q914,,,Z95818,
3491,V421,,,,,,,,,,,G909,Q255,,,Z4659,M341,E789,Q917,,,Z45010,
43401,V422,,,,,,,,,,,G40311,Q256,,,T8640,M349,E791,Q928,,,Z45018,
43491,V432,,,,,,,,,,,G40301,Q257,,,T8641,Z21,E798,Q93,,,Z4502,
359,V433,,,,,,,,,,,G40211,Q26,,,T8642,,E804,Q950,,,Z4509,
740,V450,,,,,,,,,,,G40219,R001,,,T86890,,E805,Q969,,,Z959,
741,V4581,,,,,,,,,,,G40411,Q282,,,T86891,,E806,Q97,,,J9500,
742,V533,,,,,,,,,,,G40419,Q283,,,T86899,,E807,Q98,,,J9501,
7595,,,,,,,,,,,,G40804,Q289,,,T86850,,E830,Q992,,,J9502,
78003,,,,,,,,,,,,G40111,Z951,,,T86851,,E831,Q998,,,J9503,
9962,,,,,,,,,,,,G40119,T82519A,,,T86859,,E833,Q999,,,J9504,
99663,,,,,,,,,,,,G40911,T82529A,,,,,E834,Q898,,,J9509,
V452,,,,,,,,,,,,G40919,T82539A,,,,,E88,Q81,,,Z430,
V5301,,,,,,,,,,,,G371,T82599A,,,,,H498,,,,Z930,
V5302,,,,,,,,,,,,G372,T82110A,,,,,E85,,,,Z942,
,,,,,,,,,,,,G378,T82111A,,,,,E009,,,,Z990,
,,,,,,,,,,,,G8190,T82120A,,,,,E230,,,,J95850,
,,,,,,,,,,,,G8290,T82121A,,,,,E232,,,,Z9911,
,,,,,,,,,,,,G8250,T82190A,,,,,E222,,,,Z9912,
,,,,,,,,,,,,G8251,T82191A,,,,,E233,,,,T8571XA,
,,,,,,,,,,,,G8252,T8201XA,,,,,E237,,,,Z940,
,,,,,,,,,,,,G8253,T8202XA,,,,,E240,,,,Z9350,
,,,,,,,,,,,,G8254,T8203XA,,,,,E242,,,,Z9351,
,,,,,,,,,,,,G835,T8209XA,,,,,E243,,,,Z9352,
,,,,,,,,,,,,G839,T82211A,,,,,E248,,,,Z9359,
,,,,,,,,,,,,G931,T82212A,,,,,E249,,,,Z936,
,,,,,,,,,,,,G935,T82213A,,,,,E2681,,,,Z9115,
,,,,,,,,,,,,I6330,T82218A,,,,,E250,,,,Z992,
,,,,,,,,,,,,I6350,T82221A,,,,,E258,,,,Z435,
,,,,,,,,,,,,G10,T82222A,,,,,E259,,,,Z436,
,,,,,,,,,,,,G20,T82223A,,,,,Z4681,,,,Z446,
,,,,,,,,,,,,G210,T82228A,,,,,Z794,,,,K9420,
,,,,,,,,,,,,G2111,T82518A,,,,,Z9641 ,,,,K9422,
,,,,,,,,,,,,G2119,T82528A,,,,,,,,,K9423,
,,,,,,,,,,,,G218,T82538A,,,,,,,,,K9429,
,,,,,,,,,,,,G230,T82598A,,,,,,,,,Z931,
,,,,,,,,,,,,G231,T826XXA,,,,,,,,,Z932,
,,,,,,,,,,,,G232,T827XXA,,,,,,,,,Z933,
,,,,,,,,,,,,G238,Z941,,,,,,,,,Z934,
,,,,,,,,,,,,G2402,Z950,,,,,,,,,Z431,
,,,,,,,,,,,,G248,Z952,,,,,,,,,Z432,
,,,,,,,,,,,,G253,Z95810,,,,,,,,,Z433,
,,,,,,,,,,,,G254,Z95811,,,,,,,,,Z434,
,,,,,,,,,,,,G255,Z95812,,,,,,,,,Z4651,
,,,,,,,,,,,,G2581,Z95818,,,,,,,,,Z4659,
,,,,,,,,,,,,G2582,Z953,,,,,,,,,Z4681,
,,,,,,,,,,,,G2583,Z45010,,,,,,,,,Z9641,
,,,,,,,,,,,,G2589,Z45018,,,,,,,,,T84019A,
,,,,,,,,,,,,G259,Z4502,,,,,,,,,T84029A,
,,,,,,,,,,,,G803,Z4509,,,,,,,,,T84039A,
,,,,,,,,,,,,R403,Z959,,,,,,,,,T84049A,
,,,,,,,,,,,,G9782,,,,,,,,,,T84059A,
,,,,,,,,,,,,T8509XA,,,,,,,,,,T84069A,
,,,,,,,,,,,,T85190A,,,,,,,,,,T84099A,
,,,,,,,,,,,,T85192A,,,,,,,,,,T84498A,
,,,,,,,,,,,,T85199A,,,,,,,,,,T84119A,
,,,,,,,,,,,,T8579XA,,,,,,,,,,T84129A,
,,,,,,,,,,,,Z982,,,,,,,,,,T84199A,
,,,,,,,,,,,,Z4541,,,,,,,,,,T84498A,
,,,,,,,,,,,,Z4542,,,,,,,,,,T8450XA,
,,,,,,,,,,,,,,,,,,,,,,T8460XA,
,,,,,,,,,,,,,,,,,,,,,,T847XXA,
,,,,,,,,,,,,,,,,,,,,,,T8690,
,,,,,,,,,,,,,,,,,,,,,,T8691,
,,,,,,,,,,,,,,,,,,,,,,T8692,
,,,,,,,,,,,,,,,,,,,,,,T8699,
,,,,,,,,,,,,,,,,,,,,,,T8610,
,,,,,,,,,,,,,,,,,,,,,,T8611,
,,,,,,,,,,,,,,,,,,,,,,T8612,
,,,,,,,,,,,,,,,,,,,,,,T8640,
,,,,,,,,,,,,,,,,,,,,,,T8641,
,,,,,,,,,,,,,,,,,,,,,,T8642,
,,,,,,,,,,,,,,,,,,,,,,T8620,
,,,,,,,,,,,,,,,,,,,,,,T8621,
,,,,,,,,,,,,,,,,,,,,,,T8622,
,,,,,,,,,,,,,,,,,,,,,,T86810,
,,,,,,,,,,,,,,,,,,,,,,T86811,
,,,,,,,,,,,,,,,,,,,,,,T86819,
,,,,,,,,,,,,,,,,,,,,,,T8600,
,,,,,,,,,,,,,,,,,,,,,,T8601,
,,,,,,,,,,,,,,,,,,,,,,T8602,
,,,,,,,,,,,,,,,,,,,,,,T8609,
,,,,,,,,,,,,,,,,,,,,,,T86890,
,,,,,,,,,,,,,,,,,,,,,,T86891,
,,,,,,,,,,,,,,,,,,,,,,T86899,
,,,,,,,,,,,,,,,,,,,,,,T86850,
,,,,,,,,,,,,,,,,,,,,,,T86851,
,,,,,,,,,,,,,,,,,,,,,,T86859,
,,,,,,,,,,,,,,,,,,,,,,T865,
,,,,,,,,,,,,,,,,,,,,,,T86890,
,,,,,,,,,,,,,,,,,,,,,,T86891,
,,,,,,,,,,,,,,,,,,,,,,T86899,
,,,,,,,,,,,,,,,,,,,,,,T870X9,
,,,,,,,,,,,,,,,,,,,,,,T871X9,
,,,,,,,,,,,,,,,,,,,,,,T872,
,,,,,,,,,,,,,,,,,,,,,,Y831,
,,,,,,,,,,,,,,,,,,,,,,Y833 ,
